georeference,ada_notes,ada,south_direction_label,north_direction_label,gtfs_longitude,gtfs_latitude,structure,daytime_routes,borough,stop_name,line,division,gtfs_stop_id,complex_id,station_id
POINT (-73.93418 40.859022),,0,Downtown & Brooklyn,207 St,-73.93418,40.859022,Subway,A,M,190 St,8th Av - Fulton St,IND,A05,145,145
POINT (-73.982209 40.77344),,1,Downtown,Uptown & The Bronx,-73.982209,40.77344,Subway,1,M,66 St-Lincoln Center,Broadway - 7Av,IRT,124,314,314
POINT (-73.98795 40.749567),,1,Downtown & Brooklyn,Uptown & Queens,-73.98795,40.749567,Subway,N Q R W,M,34 St-Herald Sq,Broadway - Brighton,BMT,R17,607,12
POINT (-73.958161 40.800603),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.958161,40.800603,Subway,B C,M,Cathedral Pkwy (110 St),8th Av - Fulton St,IND,A17,155,155
POINT (-73.979189 40.752769),,1,,Times Sq,-73.979189,40.752769,Subway,S,M,Grand Central-42 St,Lexington - Shuttle,IRT,901,610,469
POINT (-73.997702 40.724329),,0,Downtown & Brooklyn,Uptown & Queens,-73.997702,40.724329,Subway,R W,M,Prince St,Broadway - Brighton,BMT,R22,17,17
POINT (-73.951822 40.799075),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.951822,40.799075,Subway,2 3,M,Central Park North (110 St),Lenox - White Plains Rd,IRT,227,441,441
POINT (-74.008811 40.713051),,0,Downtown & Brooklyn,Uptown & The Bronx,-74.008811,40.713051,Subway,2 3,M,Park Place,Clark St,IRT,228,624,331
POINT (-73.972323 40.793919),,1,Downtown & Brooklyn,Uptown & The Bronx,-73.972323,40.793919,Subway,1 2 3,M,96 St,Broadway - 7Av,IRT,120,310,310
POINT (-73.997141 40.722301),,0,Downtown,Uptown & The Bronx,-73.997141,40.722301,Subway,6,M,Spring St,Lexington Av,IRT,638,409,409
POINT (-74.009266 40.715478),,1,Downtown & Brooklyn,Uptown & The Bronx,-74.009266,40.715478,Subway,1 2 3,M,Chambers St,Broadway - 7Av,IRT,137,327,327
POINT (-74.014065 40.704817),,1,Brooklyn,Uptown & The Bronx,-74.014065,40.704817,Subway,4 5,M,Bowling Green,Lexington Av,IRT,420,414,414
POINT (-73.944216 40.824783),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.944216,40.824783,Subway,B D,M,145 St,Concourse,IND,D13,151,151
POINT (-74.00046 40.718383),,0,Downtown & Brooklyn,Uptown & Queens,-74.00046,40.718383,Subway,N Q,M,Canal St,Manhattan Bridge,BMT,Q01,623,19
POINT (-73.939704 40.847391),,1,Downtown & Brooklyn,207 St,-73.939704,40.847391,Subway,A,M,175 St,8th Av - Fulton St,IND,A07,147,147
POINT (-73.989735 40.757308),,1,Downtown & Brooklyn,Uptown - Queens,-73.989735,40.757308,Subway,A C E,M,42 St-Port Authority Bus Terminal,8th Av - Fulton St,IND,A27,611,163
POINT (-73.951787 40.777891),,1,Downtown & Brooklyn,Uptown,-73.951787,40.777891,Subway,Q,M,86 St,Second Av,IND,Q04,476,476
POINT (-74.000495 40.732338),,1,Downtown & Brooklyn,Uptown - Queens,-74.000495,40.732338,Subway,B D F M,M,W 4 St-Wash Sq,6th Av - Culver,IND,D20,167,167
POINT (-73.94077 40.814229),,1,Downtown & Brooklyn,Uptown & The Bronx,-73.94077,40.814229,Subway,2 3,M,135 St,Lenox - White Plains Rd,IRT,224,438,438
POINT (-73.984569 40.754222),,0,Downtown & Brooklyn,Uptown & The Bronx - Queens,-73.984569,40.754222,Subway,B D F M,M,42 St-Bryant Pk,6th Av - Culver,IND,D16,609,226
POINT (-73.925536 40.860531),,1,Downtown,Uptown & The Bronx,-73.925536,40.860531,Elevated,1,M,Dyckman St,Broadway - 7Av,IRT,109,299,299
POINT (-73.958372 40.815581),,0,Downtown,Uptown & The Bronx,-73.958372,40.815581,Elevated,1,M,125 St,Broadway - 7Av,IRT,116,306,306
POINT (-73.94425 40.79502),,0,Downtown,Uptown & The Bronx,-73.94425,40.79502,Subway,6,M,110 St,Lexington Av,IRT,623,394,394
POINT (-73.966113 40.764629),,1,Downtown & Brooklyn,Uptown - Queens,-73.966113,40.764629,Subway,F Q,M,Lexington Av/63 St,63rd St,IND,B08,223,223
POINT (-73.96387 40.768141),,0,Downtown,Uptown & The Bronx,-73.96387,40.768141,Subway,6,M,68 St-Hunter College,Lexington Av,IRT,628,399,399
POINT (-74.013664 40.702068),,1,,Uptown & The Bronx,-74.013664,40.702068,Subway,1,M,South Ferry,Broadway - 7Av,IRT,142,635,330
POINT (-73.961454 40.796092),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.961454,40.796092,Subway,B C,M,103 St,8th Av - Fulton St,IND,A18,156,156
POINT (-74.002906 40.733422),,0,Downtown,Uptown & The Bronx,-74.002906,40.733422,Subway,1,M,Christopher St-Sheridan Sq,Broadway - 7Av,IRT,133,323,323
POINT (-73.999892 40.718092),,0,Broad St,Brooklyn,-73.999892,40.718092,Subway,J Z,M,Canal St,Jamaica,BMT,M20,623,104
POINT (-73.94489 40.834041),,0,Downtown,Uptown & The Bronx,-73.94489,40.834041,Subway,1,M,157 St,Broadway - 7Av,IRT,113,303,303
POINT (-73.991057 40.750373),,1,Downtown & Brooklyn,Uptown & The Bronx,-73.991057,40.750373,Subway,1 2 3,M,34 St-Penn Station,Broadway - 7Av,IRT,128,318,318
POINT (-73.973347 40.764811),,0,Downtown & Brooklyn,Queens,-73.973347,40.764811,Subway,N R W,M,5 Av/59 St,Astoria,BMT,R13,8,8
POINT (-73.996204 40.725297),,1,Downtown & Brooklyn,Uptown & The Bronx - Queens,-73.996204,40.725297,Subway,B D F M,M,Broadway-Lafayette St,6th Av - Culver,IND,D21,619,230
POINT (-74.007691 40.710197),,1,Brooklyn,Uptown,-74.007691,40.710197,Subway,A C,M,Fulton St,8th Av - Fulton St,IND,A38,628,172
POINT (-73.989951 40.734673),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.989951,40.734673,Subway,4 5 6,M,14 St-Union Sq,Lexington Av,IRT,635,602,406
POINT (-73.97641 40.775594),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.97641,40.775594,Subway,B C,M,72 St,8th Av - Fulton St,IND,A22,160,160
POINT (-73.976041 40.751431),,1,34 St - Hudson Yards,Queens,-73.976041,40.751431,Subway,7,M,Grand Central-42 St,Flushing,IRT,723,610,465
POINT (-73.937969 40.851695),,0,Downtown & Brooklyn,207 St,-73.937969,40.851695,Subway,A,M,181 St,8th Av - Fulton St,IND,A06,146,146
POINT (-73.98197 40.778453),,1,Downtown & Brooklyn,Uptown & The Bronx,-73.98197,40.778453,Subway,1 2 3,M,72 St,Broadway - 7Av,IRT,123,313,313
POINT (-73.988691 40.745494),,0,Downtown & Brooklyn,Uptown & Queens,-73.988691,40.745494,Subway,R W,M,28 St,Broadway - Brighton,BMT,R18,13,13
POINT (-74.011862 40.707557),,0,Downtown & Brooklyn,Uptown & The Bronx,-74.011862,40.707557,Subway,4 5,M,Wall St,Lexington Av,IRT,419,413,413
POINT (-73.981628 40.730953),,1,Brooklyn,8 Av,-73.981628,40.730953,Subway,L,M,1 Av,Canarsie,BMT,L06,119,119
POINT (-74.012994 40.703087),,0,Brooklyn,Uptown & Queens,-74.012994,40.703087,Subway,R W,M,Whitehall St-South Ferry,Broadway,BMT,R27,635,23
POINT (-73.976848 40.751776),,1,Downtown & Brooklyn,Uptown & The Bronx,-73.976848,40.751776,Subway,4 5 6,M,Grand Central-42 St,Lexington Av,IRT,631,610,402
POINT (-73.944216 40.824783),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.944216,40.824783,Subway,A C,M,145 St,8th Av - Fulton St,IND,A12,151,151
POINT (-74.001775 40.719527),,0,Downtown & Brooklyn,Uptown & Queens,-74.001775,40.719527,Subway,R W,M,Canal St,Broadway,BMT,R23,623,18
POINT (-73.909831 40.874561),,0,Downtown,242 St,-73.909831,40.874561,Elevated,1,M,Marble Hill-225 St,Broadway - 7Av,IRT,106,296,296
POINT (-73.985984 40.762456),Downtown & Brooklyn only,2,Downtown & Brooklyn,Uptown - Queens,-73.985984,40.762456,Subway,C E,M,50 St,8th Av - Fulton St,IND,A25,162,162
POINT (-73.941514 40.830518),,0,Downtown & Brooklyn,Uptown,-73.941514,40.830518,Subway,C,M,155 St,8th Av - Fulton St,IND,A11,150,150
POINT (-74.000495 40.732338),,1,Downtown & Brooklyn,Uptown - Queens,-74.000495,40.732338,Subway,A C E,M,W 4 St-Wash Sq,8th Av - Fulton St,IND,A32,167,167
POINT (-74.009509 40.710368),,1,Downtown & Brooklyn,Uptown & The Bronx,-74.009509,40.710368,Subway,4 5,M,Fulton St,Lexington Av,IRT,418,628,412
POINT (-73.918822 40.864621),,0,Downtown,Uptown & The Bronx,-73.918822,40.864621,Elevated,1,M,207 St,Broadway - 7Av,IRT,108,298,298
POINT (-73.959874 40.77362),,0,Downtown,Uptown & The Bronx,-73.959874,40.77362,Subway,6,M,77 St,Lexington Av,IRT,627,398,398
POINT (-73.976218 40.788644),,0,Downtown,Uptown & The Bronx,-73.976218,40.788644,Subway,1,M,86 St,Broadway - 7Av,IRT,121,311,311
POINT (-74.007582 40.710374),,1,Broad St,Brooklyn,-74.007582,40.710374,Subway,J Z,M,Fulton St,Jamaica,BMT,M22,628,106
POINT (-73.989344 40.741303),,0,Downtown & Brooklyn,Uptown & Queens,-73.989344,40.741303,Subway,R W,M,23 St,Broadway - Brighton,BMT,R19,14,14
POINT (-73.941617 40.798629),,0,Downtown,Uptown & The Bronx,-73.941617,40.798629,Subway,6,M,116 St,Lexington Av,IRT,622,393,393
POINT (-73.981329 40.758663),,1,Downtown & Brooklyn,Uptown & The Bronx - Queens,-73.981329,40.758663,Subway,B D F M,M,47-50 Sts-Rockefeller Ctr,6th Av - Culver,IND,D15,225,225
POINT (-74.012188 40.711835),,1,Downtown,Uptown & The Bronx,-74.012188,40.711835,Subway,1,M,WTC Cortlandt,Broadway - 7Av,IRT,138,328,328
POINT (-73.919899 40.868072),,1,Downtown & Brooklyn,,-73.919899,40.868072,Subway,A,M,Inwood-207 St,8th Av - Fulton St,IND,A02,143,143
POINT (-74.005229 40.720824),,0,Downtown & Brooklyn,Uptown - Queens,-74.005229,40.720824,Subway,A C E,M,Canal St,8th Av - Fulton St,IND,A34,169,169
POINT (-73.984139 40.759901),Uptown & Queens only,2,Downtown & Brooklyn,Uptown & Queens,-73.984139,40.759901,Subway,N R W,M,49 St,Broadway - Brighton,BMT,R15,10,10
POINT (-73.982076 40.746081),,0,Downtown,Uptown & The Bronx,-73.982076,40.746081,Subway,6,M,33 St,Lexington Av,IRT,632,403,403
POINT (-73.964696 40.791642),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.964696,40.791642,Subway,B C,M,96 St,8th Av - Fulton St,IND,A19,157,157
POINT (-73.987495 40.75529),,1,Downtown & Brooklyn,Uptown & The Bronx,-73.987495,40.75529,Subway,1 2 3,M,Times Sq-42 St,Broadway - 7Av,IRT,127,611,317
POINT (-73.97745 40.763972),,0,Downtown & Brooklyn,Uptown & Queens,-73.97745,40.763972,Subway,F,M,57 St,6th Av - Culver,IND,B10,224,224
POINT (-74.005367 40.728251),,0,Downtown,Uptown & The Bronx,-74.005367,40.728251,Subway,1,M,Houston St,Broadway - 7Av,IRT,134,324,324
POINT (-74.013783 40.707513),,0,Downtown,Uptown & The Bronx,-74.013783,40.707513,Subway,1,M,Rector St,Broadway - 7Av,IRT,139,329,329
POINT (-73.996209 40.738228),,0,Downtown & Brooklyn,Uptown & Queens,-73.996209,40.738228,Subway,F M,M,14 St,6th Av - Culver,IND,D19,601,229
POINT (-73.981963 40.753821),,0,34 St - Hudson Yards,Queens,-73.981963,40.753821,Subway,7,M,5 Av,Flushing,IRT,724,609,466
POINT (-74.00169 40.740893),,1,Downtown & Brooklyn,Uptown - Queens,-74.00169,40.740893,Subway,A C E,M,14 St,8th Av - Fulton St,IND,A31,618,166
POINT (-74.013342 40.70722),,0,Downtown & Brooklyn,Uptown & Queens,-74.013342,40.70722,Subway,R W,M,Rector St,Broadway,BMT,R26,22,22
POINT (-73.969055 40.757552),,1,Downtown & Brooklyn,Queens,-73.969055,40.757552,Subway,E M,M,Lexington Av/53 St,Queens Blvd,IND,F11,612,275
POINT (-73.99107 40.730054),,0,Downtown,Uptown & The Bronx,-73.99107,40.730054,Subway,6,M,Astor Pl,Lexington Av,IRT,636,407,407
POINT (-73.915279 40.869444),,0,Downtown,The Bronx,-73.915279,40.869444,Elevated,1,M,215 St,Broadway - 7Av,IRT,107,297,297
POINT (-73.937594 40.804138),,1,Downtown & Brooklyn,The Bronx,-73.937594,40.804138,Subway,4 5 6,M,125 St,Lexington Av,IRT,621,392,392
POINT (-73.981736 40.768296),,1,Downtown & Brooklyn,Uptown & The Bronx,-73.981736,40.768296,Subway,A B C D,M,59 St-Columbus Circle,8th Av - Fulton St,IND,A24,614,161
POINT (-73.940133 40.840556),,0,Downtown,Uptown & The Bronx,-73.940133,40.840556,Subway,1,M,168 St-Washington Hts,Broadway - 7Av,IRT,112,605,302
POINT (-73.993915 40.72028),,0,Broad St,Brooklyn,-73.993915,40.72028,Subway,J Z,M,Bowery,Jamaica,BMT,M19,103,103
POINT (-73.938209 40.830135),,0,Downtown & Brooklyn,The Bronx,-73.938209,40.830135,Subway,B D,M,155 St,Concourse,IND,D12,220,220
POINT (-73.945495 40.807754),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.945495,40.807754,Subway,2 3,M,125 St,Lenox - White Plains Rd,IRT,225,439,439
POINT (-73.986122 40.732849),,0,Brooklyn,8 Av,-73.986122,40.732849,Subway,L,M,3 Av,Canarsie,BMT,L05,118,118
POINT (-73.967258 40.76266),,0,Downtown & Brooklyn,Queens,-73.967258,40.76266,Subway,N R W,M,Lexington Av/59 St,Astoria,BMT,R11,613,7
POINT (-73.988114 40.718611),,0,Downtown & Brooklyn,Uptown & Queens,-73.988114,40.718611,Subway,F,M,Delancey St-Essex St,6th Av - Culver,IND,F15,625,233
POINT (-73.96411 40.807722),,0,Downtown,Uptown & The Bronx,-73.96411,40.807722,Subway,1,M,116 St-Columbia University,Broadway - 7Av,IRT,117,307,307
POINT (-73.979917 40.783934),,0,Downtown,Uptown & The Bronx,-73.979917,40.783934,Subway,1,M,79 St,Broadway - 7Av,IRT,122,312,312
POINT (-73.99073 40.734789),,1,Brooklyn,8 Av,-73.99073,40.734789,Subway,L,M,14 St-Union Sq,Canarsie,BMT,L03,602,117
POINT (-74.004131 40.713065),,1,Downtown & Brooklyn,Uptown & The Bronx,-74.004131,40.713065,Subway,4 5 6,M,Brooklyn Bridge-City Hall,Lexington Av,IRT,640,622,411
POINT (-73.95107 40.785672),,0,Downtown,Uptown & The Bronx,-73.95107,40.785672,Subway,6,M,96 St,Lexington Av,IRT,625,396,396
POINT (-73.955589 40.779492),Uptown & The Bronx local only,2,Downtown & Brooklyn,Uptown & The Bronx,-73.955589,40.779492,Subway,4 5 6,M,86 St,Lexington Av,IRT,626,397,397
POINT (-73.939892 40.836013),,0,Downtown & Brooklyn,Uptown,-73.939892,40.836013,Subway,C,M,163 St-Amsterdam Av,8th Av - Fulton St,IND,A10,149,149
POINT (-74.011056 40.706476),,0,,Brooklyn,-74.011056,40.706476,Subway,J Z,M,Broad St,Jamaica,BMT,M23,107,107
POINT (-73.997871 40.74104),,0,Downtown,Uptown & The Bronx,-73.997871,40.74104,Subway,1,M,18 St,Broadway - 7Av,IRT,131,321,321
POINT (-73.998041 40.745906),,0,Downtown & Brooklyn,Uptown - Queens,-73.998041,40.745906,Subway,C E,M,23 St,8th Av - Fulton St,IND,A30,165,165
POINT (-73.983849 40.761728),,0,Downtown,Uptown & The Bronx,-73.983849,40.761728,Subway,1,M,50 St,Broadway - 7Av,IRT,126,316,316
POINT (-73.992821 40.742878),,0,Downtown & Brooklyn,Uptown & Queens,-73.992821,40.742878,Subway,F M,M,23 St,6th Av - Culver,IND,D18,228,228
POINT (-73.952343 40.811109),,1,Downtown & Brooklyn,Uptown & The Bronx,-73.952343,40.811109,Subway,A B C D,M,125 St,8th Av - Fulton St,IND,A15,153,153
POINT (-74.006277 40.722854),,0,Downtown,Uptown & The Bronx,-74.006277,40.722854,Subway,1,M,Canal St,Broadway - 7Av,IRT,135,325,325
POINT (-74.011029 40.710668),,1,Downtown & Brooklyn,Uptown & Queens,-74.011029,40.710668,Subway,R W,M,Cortlandt St,Broadway,BMT,R25,624,21
POINT (-73.968916 40.785868),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.968916,40.785868,Subway,B C,M,86 St,8th Av - Fulton St,IND,A20,158,158
POINT (-73.990568 40.735736),,1,Downtown & Brooklyn,Uptown & Queens,-73.990568,40.735736,Subway,N Q R W,M,14 St-Union Sq,Broadway - Brighton,BMT,R20,602,15
POINT (-73.93647 40.82388),,0,Downtown & Brooklyn,,-73.93647,40.82388,Subway,3,M,Harlem-148 St,Lenox - White Plains Rd,IRT,301,436,436
POINT (-73.995657 40.744081),,0,Downtown,Uptown & The Bronx,-73.995657,40.744081,Subway,1,M,23 St,Broadway - 7Av,IRT,130,320,320
POINT (-73.933596 40.849505),,0,Downtown,Uptown & The Bronx,-73.933596,40.849505,Subway,1,M,181 St,Broadway - 7Av,IRT,111,301,301
POINT (-73.984264 40.74307),Downtown only,2,Downtown,Uptown & The Bronx,-73.984264,40.74307,Subway,6,M,28 St,Lexington Av,IRT,633,404,404
POINT (-73.954882 40.805085),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.954882,40.805085,Subway,B C,M,116 St,8th Av - Fulton St,IND,A16,154,154
POINT (-73.927271 40.865491),,0,Downtown & Brooklyn,207 St,-73.927271,40.865491,Subway,A,M,Dyckman St,8th Av - Fulton St,IND,A03,144,144
POINT (-73.986754 40.754672),,1,Downtown & Brooklyn,Uptown & Queens,-73.986754,40.754672,Subway,N Q R W,M,Times Sq-42 St,Broadway - Brighton,BMT,R16,611,11
POINT (-73.949625 40.802098),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.949625,40.802098,Subway,2 3,M,116 St,Lenox - White Plains Rd,IRT,226,440,440
POINT (-73.966847 40.803967),,0,Downtown,Uptown & The Bronx,-73.966847,40.803967,Subway,1,M,Cathedral Pkwy (110 St),Broadway - 7Av,IRT,118,308,308
POINT (-73.975224 40.760167),,0,Downtown & Brooklyn,Queens,-73.975224,40.760167,Subway,E M,M,5 Av/53 St,Queens Blvd,IND,F12,276,276
POINT (-73.996786 40.737335),,0,Brooklyn,8 Av,-73.996786,40.737335,Subway,L,M,6 Av,Canarsie,BMT,L02,601,116
POINT (-74.008585 40.714111),,0,Downtown & Brooklyn,Uptown,-74.008585,40.714111,Subway,A C,M,Chambers St,8th Av - Fulton St,IND,A36,624,170
POINT (-73.994659 40.725915),,1,Downtown,Uptown & The Bronx,-73.994659,40.725915,Subway,6,M,Bleecker St,Lexington Av,IRT,637,619,408
POINT (-73.990173 40.713715),,0,Brooklyn,Uptown & Queens,-73.990173,40.713715,Subway,F,M,East Broadway,6th Av - Culver,IND,F16,234,234
POINT (-73.987691 40.755477),,1,34 St - Hudson Yards,Queens,-73.987691,40.755477,Subway,7,M,Times Sq-42 St,Flushing,IRT,725,611,467
POINT (-74.0091 40.706821),,0,Brooklyn,Uptown & The Bronx,-74.0091,40.706821,Subway,2 3,M,Wall St,Clark St,IRT,230,333,333
POINT (-73.987437 40.718315),,0,Broad St (JZ) - Uptown (M),Brooklyn,-73.987437,40.718315,Subway,J M Z,M,Delancey St-Essex St,Jamaica,BMT,M18,625,102
POINT (-74.00191 40.755882),,1,,Queens,-74.00191,40.755882,Subway,7,M,34 St-Hudson Yards,Flushing,IRT,726,471,471
POINT (-73.947152 40.784318),,1,Downtown & Brooklyn,,-73.947152,40.784318,Subway,Q,M,96 St,Second Av,IND,Q05,475,475
